id,cc_number,cvv,cc_accountnumber,date_of_issue,limit
10001,6709-7200-0000-0000,901,78943001,2023-01-04T11:56:07+01:00,100000
10002,6759-3800-0000-0000,696,78943002,2023-02-07T08:31:24+01:00,150000
10003,5018-6700-0000-0000,296,78943003,2023-01-13T19:16:02+01:00,250000
10004,5458-3146-7492-9964,258,78943004,2023-05-04T23:11:25+02:00,300000
10005,4089-1258-1779-5975,457,78943005,2023-01-21T23:26:41+01:00,60000
10006,6771-8962-5995-3052,45,78943006,2024-01-03T21:27:25+01:00,75000
10007,3748-7880-5505-7000,49,78943007,2023-11-12T16:27:23+01:00,160000
10008,6304-3100-0000-0000,134,78943008,2023-02-12T15:49:54+01:00,225000
10009,6767-5238-7877-0989,273,78943009,2023-11-12T03:10:27+01:00,110000
10010,6771-8946-3268-7109,605,78943010,2024-01-12T08:24:00+01:00,100000
10011,4816-0600-0000-0000,857,78943011,2023-10-18T07:26:34+02:00,150000
10012,3528-4359-3208-0315,171,78943012,2023-07-14T09:39:44+02:00,250000
10013,6759-3006-9561-0202,121,78943013,2023-06-01T08:51:02+02:00,300000
10014,7458-3146-7492-9964,111,78943014,2023-04-02T00:50:57+02:00,60000
10015,3528-2990-2476-5386,123,78943015,2022-12-17T10:19:38+01:00,75000
10016,3695-5120-0709-9000,134,78943016,2023-07-25T15:16:13+02:00,160000
10017,6777-1975-3062-7902,902,78943017,2023-04-07T09:37:47+02:00,225000
10018,6465-4461-1729-4587,669,78943018,2023-10-12T03:32:33+02:00,110000
10019,4880-0000-0000-0000,499,78943019,2023-06-29T12:15:28+02:00,100000
10020,3519-9870-4107-6437,749,78943020,2023-03-30T20:07:15+02:00,150000
10021,7420-3762-03710-000,980,78943021,2023-04-28T21:26:47+02:00,250000
10022,8848-7880-5505-7000,409,78943022,2023-01-20T18:00:57+01:00,300000
10023,6767-5238-7177-0989,373,78943023,2023-12-21T05:31:24+01:00,60000
10024,6300-0000-0000-0000,134,78943024,2023-08-20T14:52:21+02:00,75000
10025,6771-7746-3268-7109,605,78943025,2023-05-21T15:10:33+02:00,160000
10026,4820-0000-0000-0000,857,78943026,2023-08-18T08:11:24+02:00,225000
10027,3426-2762-6546-0000,631,78943027,2023-05-16T04:53:27+02:00,110000
10028,3043-0359-8642-0000,134,78943028,2024-01-15T00:00:48+01:00,100000
10029,6767-4373-6364-0263,963,78943029,2023-10-30T14:53:58+01:00,150000
10030,3536-5351-1846-2797,974,78943030,2023-12-20T05:47:24+01:00,250000
10031,6710-0000-0000-0000,186,78943031,2023-01-20T14:09:31+01:00,300000
10032,6759-6841-5410-0055,128,78943032,2023-02-07T18:19:15+01:00,60000
10033,3612-7885-3568-0000,668,78943033,2023-11-19T20:41:18+01:00,75000
10034,5497-8873-8117-0371,547,78943034,2023-05-10T11:41:31+02:00,160000
10035,6767-1985-8288-4283,705,78943035,2023-11-27T15:56:57+01:00,225000
10036,3636-3663-6457-0000,793,78943036,2022-12-19T15:08:30+01:00,110000
10037,5433-3572-4714-8752,417,78943037,2023-07-29T07:41:05+02:00,100000
10038,5565-4461-1729-4587,789,78943038,2023-10-06T05:12:20+02:00,150000
10039,6300-0000-0000-0000,470,78943039,2023-06-16T16:12:34+02:00,250000
10040,3040-6460-2961-0000,689,78943040,2023-12-08T17:34:29+01:00,300000
10041,3528-2990-2476-0386,323,78943041,2023-11-07T23:44:44+01:00,60000
10042,6767-3936-5169-5550,513,78943042,2023-08-31T17:38:39+02:00,75000
10043,6759-3846-9561-0202,721,78943043,2023-01-10T01:55:39+01:00,160000
10044,3695-5120-0709-0000,934,78943044,2023-11-25T21:40:40+01:00,225000
10045,6767-1975-3062-7902,142,78943045,2023-07-10T03:15:15+02:00,110000
10046,3559-0870-4107-6437,719,78943046,2023-05-25T12:43:07+02:00,100000
10047,3420-3762-03710-000,980,78943047,2023-02-09T11:34:46+01:00,150000
10048,4426-2762-6546-0000,631,78943048,2023-07-21T03:25:17+02:00,250000
10049,6760-0000-0000-0000,510,78943049,2023-04-02T10:58:21+02:00,300000
10050,3586-5351-1846-2797,974,78943050,2023-12-29T07:29:04+01:00,60000
