cc_number,cvv,cc_accountnumber,transaction_date,transaction_amount
6709-7200-0000-0000,901,78943001,5/1/2023,10000
6709-7200-0000-0000,901,78943001,10/3/2023,12000
6709-7200-0000-0000,901,78943001,11/22/2023,6000
6759-3800-0000-0000,696,78943002,2/15/2023,19000
6759-3800-0000-0000,696,78943002,3/1/2023,23000
6759-3800-0000-0000,696,78943002,12/12/2023,3500
5018-6700-0000-0000,296,78943003,1/15/2023,50000
5018-6700-0000-0000,296,78943003,2/15/2023,5000
5018-6700-0000-0000,296,78943003,3/15/2023,3000
5018-6700-0000-0000,296,78943003,4/15/2023,6000
5018-6700-0000-0000,296,78943003,5/15/2023,10000
5458-3146-7492-9964,258,78943004,5/10/2010,22000
4089-1258-1779-5975,457,78943005,1/18/2023,8000
4089-1258-1779-5975,457,78943005,6/1/2023,10000
4089-1258-1779-5975,457,78943005,12/31/2023,5000
6771-8962-5995-3052,45,78943006,9/10/2023,3500
6771-8962-5995-3052,45,78943006,11/11/2023,5000
3748-7880-5505-7000,49,78943007,7/1/2023,50000
6767-5238-7177-0989,373,78943023,1/2/2024,19800
6304-3100-0000-0000,134,78943016,8/22/2023,5000
6304-3100-0000-0000,134,78943016,9/15/2023,6000
6304-3100-0000-0000,134,78943016,11/11/2023,19000
6771-8946-3268-7109,605,78943025,6/17/2023,22000
4816-0600-0000-0000,857,78943026,11/11/2023,7000
4816-0600-0000-0000,857,78943026,11/12/2023,15000
3528-4359-3208-0315,171,78943012,6/6/2023,20000
3528-4359-3208-0315,171,78943012,7/31/2023,20000
5433-3572-4714-8752,417,78943037,8/23/2023,18000
6465-4461-1729-4587,669,78943018,11/11/2023,17000
6465-4461-1729-4587,669,78943018,11/12/2023,5000
6465-4461-1729-4587,669,78943018,12/1/2023,5000
6465-4461-1729-4587,669,78943018,12/31/2023,5000
3040-6460-2961-0000,689,78943040,2/1/2024,31500
3528-2990-2476-0386,323,78943041,7/31/2023,5000
3528-2990-2476-0386,323,78943041,11/12/2023,15000
3528-2990-2476-0386,323,78943041,12/1/2023,35000
6767-3936-5169-5550,513,78943042,11/11/2023,60000
6759-3846-9561-0202,721,78943043,10/15/2023,100000
3695-5120-0709-0000,934,78943044,12/1/2023,8000
3695-5120-0709-0000,934,78943044,12/25/2023,9000
3695-5120-0709-0000,934,78943044,12/30/2023,19000
3695-5120-0709-0000,934,78943044,12/31/2023,45000
6767-1975-3062-7902,142,78943045,9/15/2023,5000
6767-1975-3062-7902,142,78943045,11/11/2023,13000
3559-0870-4107-6437,719,78943046,6/6/2023,19000
3559-0870-4107-6437,719,78943046,7/31/2023,900
3559-0870-4107-6437,719,78943046,11/12/2023,60000
3420-3762-03710-000,980,78943047,10/3/2023,7100
3420-3762-03710-000,980,78943047,11/22/2023,23000
3426-2762-6546-0000,631,78943048,8/15/2023,4000
3426-2762-6546-0000,631,78943048,11/11/2023,14000
3536-5351-1846-2797,974,78943050,1/15/2024,26000
